Lambda1,Lambda2,Lambda3
-0.06220894636625071,0.07700939553695599,1.9440538602931974
-0.04747708575759821,0.09508634426077947,1.920073510860775
-0.036007945522484014,0.10891862296867202,1.9020457394095363
-0.028534901834441906,0.11758404406631431,1.8908217966711647
-0.025675230889702916,0.12032269135863816,1.8869999999999998
-0.027872041526485786,0.1166212028200706,1.890852431162238
-0.0353537645044551,0.10626779484420618,1.9022811395655828
-0.04811883040766719,0.08936473111553644,1.9208169009571474
-0.06594735517644788,0.06629724490257274,1.945661294491107
-0.08843521687452596,0.03767047487643536,1.9757603124268734
-0.11504152737271732,0.0042325755436086535,2.0098911148364444
-0.14513956068686998,-0.03319902501897637,2.0467447386952213
-0.1780632102671421,-0.07379743907876446,2.0825679380127755
-0.21314441366430764,-0.11676839185653322,2.1181751961965802
-0.24974016230903665,-0.1613757258940754,2.1534823297458026
-0.28724988478533536,-0.20695388977936063,2.1875520974396423
-0.3251250502682833,-0.2529113926058471,2.2195312746159424
-0.36287307071921615,-0.2987286204371634,2.2486565996128007
-0.40005735168627976,-0.34395251281988415,2.2742550552770093
-0.43629493685739307,-0.3881897582767257,2.2923386735707414
-0.4712527789245914,-0.43109952235398136,2.301885922410127
-0.5046433243428576,-0.47238627967545577,2.3045436543414244
-0.5362198418889408,-0.5117930439908415,2.300233546996038
-0.56577174752646,-0.549095130426677,2.289219897187929
-0.5931200648726062,-0.5840945022585512,2.2721284381243927
-0.6181130950781287,-0.6166147214060151,2.249904759858514
-0.6464965177667463,-0.6406223386302003,2.2237164089584054
-0.6735940045308654,-0.660538704350171,2.1948284878105855
-0.6977715862334677,-0.6777690503201926,2.1644893213357155
-0.7189016275598418,-0.6922331219697317,2.133849486770241
-0.7368629691813338,-0.7038609790915481,2.1039185430969263
-0.7515403881428874,-0.7125910310015885,2.075551498262805
-0.762825100840073,-0.7183688216636268,2.0494537056017244
-0.7706163930914272,-0.7211467179783687,2.026194830806769
-0.7748244315960657,-0.7208846480021698,2.0062259205343085
-0.7753742626485758,-0.7175520057251491,1.9898964620017905
-0.7722109373751005,-0.7111307812015297,1.9774701671340447
-0.7653056197753715,-0.7016198883917149,1.969139205881056
-0.7546624381925757,-0.6890405511728006,1.965037042566558
