Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.7462863963539307,-0.697692186523307,1.9638568071589249,2.0351986238001625,2.595002414513497,2.7149384409853576
-0.7321753196921983,-0.6818729420760414,1.963768752584787,2.031665844142461,2.5933716257434867,2.711571094917318
-0.7144510011625471,-0.6631270035855328,1.968077066760288,2.032802573953583,2.594637457488154,2.7106869622584653
-0.6932532481702196,-0.6415870311870361,1.9767971246688592,2.038698600738646,2.5988554866472744,2.712423179700244
-0.6687817415379277,-0.6174324017849114,1.9899267784097008,2.0493966854864714,2.606065023337745,2.7168842701675313
-0.6412997760480659,-0.5908931002126829,2.0074536742441307,2.064902256472232,2.6162821637550855,2.72413742181857
-0.6111354560614567,-0.5622514229723169,2.029360458416823,2.085191092504679,2.62949397409852,2.7342086412755156
-0.5786797246178789,-0.5318408676800441,2.0556272057161546,2.1102144313495166,2.6456537641868865,2.747079846758083
-0.5443807362332725,-0.5000417345175475,2.0862304269453955,2.139900927663097,2.664677556633247,2.762687059066675
-0.5087343076021728,-0.46727320897242014,2.121138182300367,2.174155023196033,2.686441944383189,2.780919883908611
-0.4722705022096735,-0.43398202078396386,2.1603011584391805,2.212851587006685,2.71078354240596,2.8016224523991746
-0.4355368113641866,-0.40062815738306345,2.203640036670166,2.255827106594055,2.7375001820699656,2.8245959059749786
-0.3990788449881309,-0.3676685050495628,2.2510300267373475,2.3028681958818833,2.766353889644334,2.8496023987274355
-0.3634198702535251,-0.33553963237250856,2.302283965977337,2.3536986360368983,2.797075565381904,2.8763704733224817
-0.329040843271951,-0.3046411454279593,2.3571357671404756,2.4079664731080417,2.829371171111804,2.904601574923362
-0.2963626785698153,-0.27532107110269816,2.4152261294209887,2.4652327749041483,2.8629291686704605,2.9339774216207397
-0.2657323363257871,-0.2478645368241133,2.476092241466671,2.5249634613741865,2.897428938685727,2.964167958094917
-0.23741388289440687,-0.22248663348339656,2.5391627118756714,2.5865252038492192,2.9325499354363056,2.994839676820865
-0.21158507070735771,-0.19932984413158464,2.6037582533873573,2.6491858568431197,2.9679813514855895,3.025664181517125
-0.18833931561420786,-0.17846589453114883,2.669097877987288,2.712119445987899,3.0034319718298343,3.0563269609135046
