Alpha,Energy
0.18,4.3840770101127156
0.18,4.3841152227080915
0.18,4.403589714846135
0.18,4.403589716899821
0.18,4.432072457395332
0.18,4.43207249182452
0.18,4.471296947090012
0.18,4.471298173103091
0.18,4.515274103687294
0.18,4.515274103691922
0.18,4.557017843959582
0.18,4.574854414909392
0.18,4.619221003701435
0.18,4.619221003701443
0.18,4.670222022345199
0.18,4.6706112776882325
0.18,4.716869378668423
0.18,4.716869378684523
0.18,4.748112443869065
0.18,4.748112571324669
0.18,4.8823765535704196
0.18,4.882376696287025
0.18,4.899992587864278
0.18,4.899992588662133
0.18,4.919638222822104
0.18,4.9196800913797025
0.18,4.933330544918447
0.18,4.933330544919903
0.18,4.938117434618664
0.22,-1.6281840006391017
0.22,-1.6280748476378244
0.22,-1.6238804995333462
0.22,-1.6238802031811994
0.22,-1.6158866602381994
0.22,-1.613218255703139
0.22,-1.6060392029959938
0.22,-1.6059466030538678
0.22,-1.5979531764746002
0.22,-1.5979518196574227
0.22,-1.5946233555188485
0.22,-1.3232920566824422
0.22,-1.3146216518512013
0.22,-1.3142659941535233
0.22,-1.2930216190972403
0.22,-1.292660771354936
0.22,-1.243426726877436
0.22,-1.2121048500621172
0.22,-1.2016829734787047
0.22,-1.2003057252785208
0.22,-1.1826810254412565
0.22,-1.1770319604922388
0.22,-0.9495568527429636
0.22,-0.9340957656505978
0.22,-0.920154485074318
0.22,-0.9125877525833693
0.22,-0.892751691368284
0.22,-0.8806314549878909
0.22,-0.7688712096956305
0.22,-0.7600120828225398
0.22,-0.7466607727779319
0.22,-0.7342993244662979
0.22,-0.7261745423745652
0.22,-0.6247258547974155
0.22,-0.6149981440978319
0.22,-0.6061578331925129
0.22,-0.5989936756126307
0.22,-0.591938039260865
0.22,-0.5820136285891048
0.22,-0.49622264454796583
0.22,-0.4939096285750242
0.22,-0.4783411717410821
0.22,-0.478216721628501
0.22,-0.46335347840037355
0.22,-0.4235247979875357
0.22,-0.4096150455293542
0.22,-0.40900395806650014
0.22,-0.3937128902746358
0.22,-0.39369483883158324
0.22,-0.311516284745621
0.22,1.0086148275477245
0.22,1.009493844074019
0.22,1.0157579526720466
0.22,1.0221658603382486
0.22,1.041330133902993
0.22,1.0632136903114053
0.22,1.06645689155507
0.22,1.0720906863921844
0.22,1.0763412866540367
0.22,1.0792397700628482
0.22,1.10036654765773
0.22,1.7527075518895248
0.22,1.753593330467958
0.22,1.757136103602512
0.22,1.7585694992198635
0.22,1.7644584972725963
0.22,1.7835354363693494
0.22,1.7981516571271965
0.22,1.8117492912349722
0.22,1.8123423734042452
0.22,1.8270451527635254
0.22,1.8274399052350838
0.22,1.82950330129596
0.22,1.8322299346540212
0.22,1.8448702444362086
0.22,1.8448942425206853
0.22,1.8586561275354658
0.22,1.8603732153680015
0.22,1.8749299376318107
0.22,1.9246711605071354
0.22,1.9273198561048084
0.22,1.951408001544332
0.22,1.951508140378507
0.22,2.0057018044865766
0.22,2.0467659681640256
0.22,2.048075216730778
0.22,2.0545320952653965
0.22,2.0606888309086635
0.22,2.075273567352801
