Alpha,Energy,p/151
0.019867549668874173,1.3878843561674108,3/151
0.019867549668874173,1.39209545833343,3/151
0.019867549668874173,1.3933009984943467,3/151
0.019867549668874173,1.3992764943747826,3/151
0.019867549668874173,1.4021803647608497,3/151
0.019867549668874173,1.4053934775551893,3/151
0.019867549668874173,1.4088827461335707,3/151
0.019867549668874173,1.411461896980503,3/151
0.019867549668874173,1.4128455176688028,3/151
0.019867549668874173,1.4153526305794497,3/151
0.019867549668874173,1.421430359762327,3/151
0.019867549668874173,1.42643071882076,3/151
0.019867549668874173,1.4286629255432592,3/151
0.019867549668874173,1.429052297817211,3/151
0.019867549668874173,1.4304646146024858,3/151
0.019867549668874173,1.433750463681232,3/151
0.019867549668874173,1.4487219371909759,3/151
0.019867549668874173,1.4503591987942395,3/151
0.019867549668874173,1.4510110001139345,3/151
0.019867549668874173,1.4510661414317885,3/151
0.019867549668874173,1.4516046985169204,3/151
0.019867549668874173,1.4538213175186478,3/151
0.019867549668874173,1.4716990797679896,3/151
0.019867549668874173,1.4777289893014158,3/151
0.019867549668874173,1.4778257536490118,3/151
0.019867549668874173,1.4778263362473947,3/151
0.019867549668874173,1.4779210332893293,3/151
0.019867549668874173,1.4835872356896358,3/151
0.019867549668874173,1.4994206065115507,3/151
0.019867549668874173,1.5083314264106387,3/151
0.019867549668874173,1.508341275211091,3/151
0.019867549668874173,1.5083412784750856,3/151
0.019867549668874173,1.5083511074856604,3/151
0.019867549668874173,1.5199897032469956,3/151
0.019867549668874173,1.537404923056848,3/151
0.019867549668874173,1.5421251109375653,3/151
0.019867549668874173,1.542125709774526,3/151
0.019867549668874173,1.5421257098024552,3/151
0.019867549668874173,1.54212630853592,3/151
0.019867549668874173,1.5465055427467642,3/151
0.019867549668874173,1.559392371561906,3/151
0.019867549668874173,1.5789596005132729,3/151
0.019867549668874173,1.5789596171984548,3/151
0.019867549668874173,1.5789596171984586,3/151
0.019867549668874173,1.5789596338835772,3/151
0.019867549668874173,1.715791139319044,3/151
0.026490066225165563,-0.006506756125980422,4/151
0.026490066225165563,-0.006209548133433607,4/151
0.026490066225165563,-0.006209548133432455,4/151
0.026490066225165563,-0.006209548133430928,4/151
0.026490066225165563,0.09488149611928616,4/151
0.026490066225165563,0.09490286207953395,4/151
0.026490066225165563,0.09490286207953466,4/151
0.026490066225165563,0.09490286207953648,4/151
0.026490066225165563,0.19104359168627835,4/151
0.026490066225165563,0.19115702017849306,4/151
0.026490066225165563,0.1911570201784943,4/151
0.026490066225165563,0.19115702017849542,4/151
0.026490066225165563,0.2826790213493106,4/151
0.026490066225165563,0.28270849204218557,4/151
0.026490066225165563,0.28270849204218707,4/151
0.026490066225165563,0.2827084920421876,4/151
0.026490066225165563,0.3696473582065985,4/151
0.026490066225165563,0.36970906197340164,4/151
0.026490066225165563,0.3697090619734028,4/151
0.026490066225165563,0.3697090619734028,4/151
0.026490066225165563,0.4522730260075497,4/151
0.026490066225165563,0.4523067829069719,4/151
0.026490066225165563,0.45230678290697307,4/151
0.026490066225165563,0.45230678290697407,4/151
0.026490066225165563,0.5306118522057519,4/151
0.026490066225165563,0.5306460210160479,4/151
0.026490066225165563,0.5306460210160491,4/151
0.026490066225165563,0.53064602101605,4/151
0.026490066225165563,0.6048315474813686,4/151
0.026490066225165563,0.6048674934853514,4/151
0.026490066225165563,0.6048674934853518,4/151
0.026490066225165563,0.6048674934853535,4/151
0.026490066225165563,0.6750916652303395,4/151
0.026490066225165563,0.6751082978162913,4/151
0.026490066225165563,0.6751082978162941,4/151
0.026490066225165563,0.675108297816296,4/151
0.026490066225165563,0.7414651884324189,4/151
0.026490066225165563,0.7415019304702953,4/151
0.026490066225165563,0.7415019304703172,4/151
0.026490066225165563,0.7415019304703402,4/151
0.026490066225165563,0.8041737019354682,4/151
0.026490066225165563,0.8041782918734557,4/151
0.026490066225165563,0.8041782918736797,4/151
0.026490066225165563,0.8041782918738967,4/151
0.026490066225165563,0.8632271475928941,4/151
0.026490066225165563,0.8632636736894871,4/151
0.026490066225165563,0.8632636736914038,4/151
0.026490066225165563,0.8632636736933221,4/151
0.026490066225165563,0.9188807226460193,4/151
0.026490066225165563,0.9188807226607929,4/151
0.026490066225165563,0.9188807226758782,4/151
0.026490066225165563,0.9188846680215305,4/151
0.026490066225165563,0.9711128370522493,4/151
0.026490066225165563,0.9711483727800542,4/151
0.026490066225165563,0.9711483728846761,4/151
0.026490066225165563,0.9711483729893549,4/151
0.026490066225165563,1.020181734188584,4/151
0.026490066225165563,1.020181734850702,4/151
0.026490066225165563,1.0201817355161922,4/151
0.026490066225165563,1.0201917535231955,4/151
0.026490066225165563,1.0660579928379483,4/151
0.026490066225165563,1.0660919200374888,4/151
0.026490066225165563,1.0660919238552726,4/151
0.026490066225165563,1.0660919276766956,4/151
0.026490066225165563,1.1089857812757042,4/151
0.026490066225165563,1.1089858012435794,4/151
0.026490066225165563,1.1089858212780406,4/151
0.026490066225165563,1.1090000411278598,4/151
0.026490066225165563,1.1489337656819034,4/151
0.026490066225165563,1.1489654917998326,4/151
0.026490066225165563,1.1489655875553362,4/151
0.026490066225165563,1.1489656836538498,4/151
0.026490066225165563,1.1861278468861458,4/151
0.026490066225165563,1.1861282766500263,4/151
0.026490066225165563,1.1861286966800753,4/151
0.026490066225165563,1.186145271011832,4/151
0.026490066225165563,1.2205353925613809,4/151
0.026490066225165563,1.2205630713219644,4/151
0.026490066225165563,1.220564742153995,4/151
0.026490066225165563,1.2205664860532857,4/151
0.026490066225165563,1.2523512217292705,4/151
0.026490066225165563,1.2523582840083294,4/151
0.026490066225165563,1.2523642013193401,4/151
0.026490066225165563,1.2523779226784346,4/151
0.026490066225165563,1.2815484648039364,4/151
0.026490066225165563,1.2815634080864227,4/151
0.026490066225165563,1.2815822228338998,4/151
0.026490066225165563,1.2816085704980213,4/151
0.026490066225165563,1.3082064277584482,4/151
0.026490066225165563,1.3082954356087482,4/151
0.026490066225165563,1.3083332823525948,4/151
0.026490066225165563,1.3083654519852022,4/151
0.026490066225165563,1.3323422039608621,4/151
0.026490066225165563,1.3324469132082624,4/151
0.026490066225165563,1.3325321040375193,4/151
0.026490066225165563,1.3327899198903859,4/151
0.026490066225165563,1.3536843771297922,4/151
0.026490066225165563,1.354287922864011,4/151
0.026490066225165563,1.3544543232001742,4/151
0.026490066225165563,1.3547596742597985,4/151
0.026490066225165563,1.3724696165188328,4/151
0.026490066225165563,1.3730329931928378,4/151
0.026490066225165563,1.3734632709883907,4/151
0.026490066225165563,1.3750772961872813,4/151
0.026490066225165563,1.3880129821696292,4/151
0.026490066225165563,1.390133083035648,4/151
0.026490066225165563,1.3905248503312506,4/151
0.026490066225165563,1.3919362667308415,4/151
0.026490066225165563,1.401128018285369,4/151
0.026490066225165563,1.4022898699939226,4/151
0.026490066225165563,1.4034323730409977,4/151
0.026490066225165563,1.4107716708101286,4/151
0.026490066225165563,1.4150442896791693,4/151
0.026490066225165563,1.4177973918108193,4/151
0.026490066225165563,1.418095658630676,4/151
0.026490066225165563,1.4203323863653086,4/151
0.026490066225165563,1.423180466652807,4/151
0.026490066225165563,1.424283080291701,4/151
0.026490066225165563,1.4251824078430984,4/151
0.026490066225165563,1.4452356344568402,4/151
0.026490066225165563,1.4459912868466873,4/151
0.026490066225165563,1.4468197400100153,4/151
0.026490066225165563,1.447298035259436,4/151
0.026490066225165563,1.4481697360079036,4/151
0.026490066225165563,1.4488317743966985,4/151
0.026490066225165563,1.4494311119953638,4/151
0.026490066225165563,1.4498163553051973,4/151
0.026490066225165563,1.4828097169168346,4/151
0.026490066225165563,1.4829534729170208,4/151
0.026490066225165563,1.4830367181032127,4/151
0.026490066225165563,1.4831508045311155,4/151
0.026490066225165563,1.48330771419987,4/151
0.026490066225165563,1.4833928562202332,4/151
0.026490066225165563,1.483556687464082,4/151
0.026490066225165563,1.4836254761116028,4/151
0.026490066225165563,1.5252414523230733,4/151
0.026490066225165563,1.5252463799581546,4/151
0.026490066225165563,1.5252596816808235,4/151
0.026490066225165563,1.5252745586212835,4/151
0.026490066225165563,1.525282272260448,4/151
0.026490066225165563,1.5252926302554137,4/151
0.026490066225165563,1.5253114674305657,4/151
0.026490066225165563,1.5253465231780132,4/151
0.026490066225165563,1.572860985842157,4/151
0.026490066225165563,1.5730009456605898,4/151
0.026490066225165563,1.5730015741652328,4/151
0.026490066225165563,1.5730021554688889,4/151
0.026490066225165563,1.573002317628126,4/151
0.026490066225165563,1.5730028971717493,4/151
0.026490066225165563,1.5730035264091027,4/151
0.026490066225165563,1.573459956978629,4/151
0.033112582781456956,0.006353893526714112,5/151
0.033112582781456956,0.00635389352671634,5/151
0.033112582781456956,0.006353893526716636,5/151
0.033112582781456956,0.006353893526717975,5/151
0.033112582781456956,0.054013426277272514,5/151
0.033112582781456956,0.13123526937632732,5/151
0.033112582781456956,0.13123526937632846,5/151
0.033112582781456956,0.1312352693763301,5/151
0.033112582781456956,0.13123526937633098,5/151
0.033112582781456956,0.14083777726005925,5/151
0.033112582781456956,0.2486162044500244,5/151
0.033112582781456956,0.24861620445002497,5/151
0.033112582781456956,0.24861620445002572,5/151
0.033112582781456956,0.24861620445002636,5/151
0.033112582781456956,0.25449718945445426,5/151
0.033112582781456956,0.35879684307826226,5/151
0.033112582781456956,0.35879684307826254,5/151
0.033112582781456956,0.35879684307826304,5/151
0.033112582781456956,0.3587968430782635,5/151
0.033112582781456956,0.3706016267512181,5/151
0.033112582781456956,0.4469550065587407,5/151
0.033112582781456956,0.4620681664468092,5/151
0.033112582781456956,0.4620681664468131,5/151
0.033112582781456956,0.4620681664468145,5/151
0.033112582781456956,0.46206816644688287,5/151
0.033112582781456956,0.5587121304415168,5/151
0.033112582781456956,0.5587121304416321,5/151
0.033112582781456956,0.5587121304416479,5/151
0.033112582781456956,0.5587121304417071,5/151
0.033112582781456956,0.5701449547254461,5/151
0.033112582781456956,0.6233808776530997,5/151
0.033112582781456956,0.6490017768416937,5/151
0.033112582781456956,0.6490017768424945,5/151
