Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6,Lambda7,Lambda8,Lambda9
-0.640140682081374,-0.6401406820813732,2.6470022596990086,2.6470022596990086,3.6351384223823637,3.635138422382364,-0.640140682081374,-0.6401406820813732,2.6470022596990086
-0.6421402491549392,-0.6421402491549378,2.650270264594157,2.650270264594158,3.6338699845607807,3.633869984560781,-0.6421402491549392,-0.6421402491549378,2.650270264594157
-0.6445428412431679,-0.6445428412431665,2.6542089405910643,2.6542089405910656,3.632333900652102,3.6323339006521023,-0.6445428412431679,-0.6445428412431665,2.6542089405910643
-0.6473078904180912,-0.6473078904180901,2.6587582704366812,2.6587582704366812,3.6305496199814096,3.6305496199814105,-0.6473078904180912,-0.6473078904180901,2.6587582704366812
-0.650388961398568,-0.6503889613985663,2.663848706465803,2.6638487064658034,3.628540254932762,3.6285402549327634,-0.650388961398568,-0.6503889613985663,2.663848706465803
-0.6537346274761225,-0.65373462747612,2.669402108065732,2.669402108065733,3.6263325194103873,3.626332519410388,-0.6537346274761225,-0.65373462747612,2.669402108065732
-0.6572894186332511,-0.6572894186332503,2.6753327932408535,2.675332793240855,3.6239566253923954,3.6239566253923963,-0.6572894186332511,-0.6572894186332503,2.6753327932408535
-0.6609948186113399,-0.6609948186113388,2.681548695061455,2.6815486950614575,3.621446123549881,3.621446123549882,-0.6609948186113399,-0.6609948186113388,2.681548695061455
-0.6647902882877835,-0.664790288287783,2.687952615638612,2.6879526156386144,3.618837672649169,3.61883767264917,-0.6647902882877835,-0.664790288287783,2.687952615638612
-0.6686142940844263,-0.6686142940844252,2.6944435721398574,2.6944435721398583,3.6161707219445685,3.616170721944569,-0.6686142940844263,-0.6686142940844252,2.6944435721398574
-0.6724053220676395,-0.6724053220676385,2.700918230702038,2.7009182307020394,3.6134870913656,3.613487091365601,-0.6724053220676395,-0.6724053220676385,2.700918230702038
-0.6761028607200342,-0.6761028607200339,2.707272424305533,2.707272424305534,3.6108304364145014,3.6108304364145014,-0.6761028607200342,-0.6761028607200339,2.707272424305533
-0.6796483378775673,-0.6796483378775662,2.713402749158549,2.7134027491585515,3.608245588719016,3.608245588719016,-0.6796483378775673,-0.6796483378775662,2.713402749158549
-0.6829859998677184,-0.6829859998677164,2.7192082304203233,2.7192082304203256,3.605777769447391,3.6057777694473914,-0.6829859998677184,-0.6829859998677164,2.7192082304203233
-0.6860637233175944,-0.6860637233175938,2.7245920419144625,2.7245920419144647,3.603471681403131,3.6034716814031316,-0.6860637233175944,-0.6860637233175938,2.7245920419144625
-0.6888337523224243,-0.6888337523224226,2.7294632559570573,2.729463255957059,3.6013704963653654,3.601370496365367,-0.6888337523224243,-0.6888337523224226,2.7294632559570573
-0.6912533556057493,-0.6912533556057452,2.7337385891348305,2.7337385891348314,3.599514766470917,3.5995147664709175,-0.6912533556057493,-0.6912533556057452,2.7337385891348305
-0.6932853999256495,-0.6932853999256484,2.737344098943444,2.7373440989434465,3.597941300982201,3.5979413009822037,-0.6932853999256495,-0.6932853999256484,2.737344098943444
-0.694898837275705,-0.6948988372757042,2.7402167762563336,2.740216776256335,3.5966820610193686,3.59668206101937,-0.694898837275705,-0.6948988372757042,2.7402167762563336
-0.6960691044071975,-0.6960691044071968,2.7423059715680305,2.7423059715680322,3.5957631328391653,3.5957631328391653,-0.6960691044071975,-0.6960691044071968,2.7423059715680305
-0.6967784338887016,-0.6967784338887005,2.7435745907399727,2.743574590739973,3.595203843148728,3.595203843148731,-0.6967784338887016,-0.6967784338887005,2.7435745907399727
-0.6970160763610327,-0.6970160763610327,2.7439999999999998,2.744,3.595016076361032,3.5950160763610324,-0.6970160763610327,-0.6970160763610327,2.7439999999999998
-0.6967784338887014,-0.6967784338887003,2.743574590739971,2.7435745907399745,3.595203843148725,3.5952038431487288,-0.6967784338887014,-0.6967784338887003,2.743574590739971
-0.6946330945024567,-0.6946330945024548,2.7420207249107857,2.7420207249107875,3.5944596650673764,3.5944596650673795,-0.6946330945024567,-0.6946330945024548,2.7420207249107857
-0.691988694958948,-0.6919886949589467,2.7394548030497727,2.7394548030497745,3.5942294058116535,3.5942294058116535,-0.691988694958948,-0.6919886949589467,2.7394548030497727
-0.6888449966306901,-0.6888449966306863,2.7358089896295916,2.7358089896295934,3.594581273452239,3.594581273452242,-0.6888449966306901,-0.6888449966306863,2.7358089896295916
-0.6852106126068891,-0.6852106126068868,2.7310431480162127,2.7310431480162136,3.5955646227058367,3.5955646227058375,-0.6852106126068891,-0.6852106126068868,2.7310431480162127
-0.6811034479934144,-0.6811034479934132,2.7251482910236335,2.725148291023634,3.597206942244303,3.597206942244304,-0.6811034479934144,-0.6811034479934132,2.7251482910236335
-0.6765509832420352,-0.6765509832420346,2.7181486290962864,2.718148629096287,3.599512087440099,3.599512087440101,-0.6765509832420352,-0.6765509832420346,2.7181486290962864
-0.6715903820146422,-0.6715903820146408,2.710102060341837,2.710102060341838,3.6024598958406293,3.602459895840633,-0.6715903820146422,-0.6715903820146408,2.710102060341837
-0.6662684061195786,-0.6662684061195777,2.701099103561194,2.7010991035611958,3.6060071667713864,3.6060071667713864,-0.6662684061195786,-0.6662684061195777,2.701099103561194
-0.660641121512139,-0.6606411215121387,2.6912604231214443,2.691260423121445,3.610089840223358,3.610089840223358,-0.660641121512139,-0.6606411215121387,2.6912604231214443
-0.65477338146355,-0.6547733814635484,2.6807332052577366,2.6807332052577397,3.6146261015522203,3.6146261015522207,-0.65477338146355,-0.6547733814635484,2.6807332052577366
-0.6487380760434633,-0.6487380760434627,2.6696867034912986,2.6696867034912994,3.6195200834557038,3.6195200834557038,-0.6487380760434633,-0.6487380760434627,2.6696867034912986
-0.6426151413130488,-0.6426151413130484,2.6583072756214157,2.658307275621416,3.62466583617688,3.6246658361768826,-0.6426151413130488,-0.6426151413130484,2.6583072756214157
-0.6364903273492644,-0.6364903273492639,2.6467931978267085,2.646793197826709,3.629951279526663,3.6299512795266633,-0.6364903273492644,-0.6364903273492639,2.6467931978267085
-0.6304537316040608,-0.6304537316040606,2.6353494807262376,2.6353494807262403,3.6352619183863806,3.635261918386382,-0.6304537316040608,-0.6304537316040606,2.6353494807262376
-0.6245981132042802,-0.62459811320428,2.624182845711787,2.6241828457117884,3.640484178992053,3.640484178992055,-0.6245981132042802,-0.62459811320428,2.624182845711787
-0.6190170144859293,-0.6190170144859288,2.6134969610141487,2.6134969610141487,3.645508292838009,3.64550829283801,-0.6190170144859293,-0.6190170144859288,2.6134969610141487
-0.613802727948315,-0.6138027279483146,2.6034879933248782,2.603487993324881,3.650230710570214,3.650230710570215,-0.613802727948315,-0.6138027279483146,2.6034879933248782
-0.6090441592393107,-0.6090441592393105,2.594340504321914,2.5943405043219143,3.6545560671378845,3.6545560671378854,-0.6090441592393107,-0.6090441592393105,2.594340504321914
-0.6048246487830986,-0.6048246487830975,2.586223710134591,2.586223710134592,3.658398742784557,3.658398742784558,-0.6048246487830986,-0.6048246487830975,2.586223710134591
-0.6012198250351148,-0.6012198250351148,2.579288121450694,2.579288121450695,3.661684075165373,3.661684075165373,-0.6012198250351148,-0.6012198250351148,2.579288121450694
-0.5982955697636975,-0.5982955697636965,2.573662587755284,2.573662587755285,3.6643492795044623,3.664349279504466,-0.5982955697636975,-0.5982955697636965,2.573662587755284
-0.5961061789200428,-0.5961061789200421,2.5694517765824063,2.5694517765824085,3.666344129476597,3.666344129476598,-0.5961061789200428,-0.5961061789200421,2.5694517765824063
-0.5946928005210688,-0.5946928005210683,2.5667341240868313,2.5667341240868313,3.66763144393337,3.66763144393337,-0.5946928005210688,-0.5946928005210683,2.5667341240868313
-0.5940822229486146,-0.594082222948614,2.5655602943740305,2.5655602943740314,3.6681874154416256,3.668187415441628,-0.5940822229486146,-0.594082222948614,2.5655602943740305
-0.5942860732139559,-0.5942860732139548,2.5659521808556036,2.565952180855604,3.6680018069175824,3.668001806917583,-0.5942860732139559,-0.5942860732139548,2.5659521808556036
-0.5953004658182822,-0.5953004658182814,2.567902473665512,2.5679024736655123,3.6670780329530106,3.667078032953013,-0.5953004658182822,-0.5953004658182814,2.567902473665512
-0.5971061203088388,-0.5971061203088378,2.5713748041684323,2.5713748041684323,3.6654331329023817,3.665433132902382,-0.5971061203088388,-0.5971061203088378,2.5713748041684323
-0.5996689414506468,-0.5996689414506455,2.576304462833027,2.576304462833028,3.663097633377941,3.6630976333779444,-0.5996689414506468,-0.5996689414506455,2.576304462833027
-0.6029410323106078,-0.602941032310606,2.5825996725786164,2.5825996725786173,3.660115288340219,3.6601152883402213,-0.6029410323106078,-0.602941032310606,2.5825996725786164
-0.6068620896072593,-0.606862089607258,2.590143388370568,2.59014338837057,3.6565426753604813,3.6565426753604813,-0.6068620896072593,-0.606862089607258,2.590143388370568
-0.6113611141518516,-0.6113611141518505,2.5987955870365647,2.598795587036566,3.6524486169066717,3.6524486169066743,-0.6113611141518516,-0.6113611141518505,2.5987955870365647
-0.6163583582179888,-0.6163583582179875,2.6083960098003924,2.6083960098003947,3.6479133859906807,3.6479133859906834,-0.6163583582179888,-0.6163583582179875,2.6083960098003924
-0.6217674266345914,-0.6217674266345905,2.6187673235170315,2.618767323517032,3.643027646984715,3.6430276469847174,-0.6217674266345914,-0.6217674266345905,2.6187673235170315
-0.6274974490162326,-0.6274974490162313,2.6297186733741524,2.6297186733741533,3.6378910762518273,3.6378910762518286,-0.6274974490162326,-0.6274974490162313,2.6297186733741524
-0.6334552459848449,-0.6334552459848435,2.641049606929744,2.6410496069297458,3.632610605570477,3.6326106055704797,-0.6334552459848449,-0.6334552459848435,2.641049606929744
-0.6395474212995004,-0.6395474212994995,2.6525543526871074,2.652554352687108,3.62729823706354,3.6272982370635405,-0.6395474212995004,-0.6395474212994995,2.6525543526871074
-0.645682323159389,-0.6456823231593886,2.6640264311802677,2.6640264311802686,3.6220683949183488,3.62206839491835,-0.645682323159389,-0.6456823231593886,2.6640264311802677
-0.6517718302948434,-0.6517718302948431,2.6752635580766624,2.675263558076663,3.6170348099997014,3.6170348099997023,-0.6517718302948434,-0.6517718302948431,2.6752635580766624
-0.6577329307224795,-0.6577329307224791,2.686072763792969,2.68607276379297,3.612306980729469,3.61230698072947,-0.6577329307224795,-0.6577329307224791,2.686072763792969
-0.6634890723954839,-0.6634890723954824,2.6962756023118573,2.696275602311858,3.607986316769099,3.6079863167691,-0.6634890723954839,-0.6634890723954824,2.6962756023118573
-0.6689712749060673,-0.6689712749060664,2.705713257867976,2.705713257867978,3.6041621459861997,3.604162145986201,-0.6689712749060673,-0.6689712749060664,2.705713257867976
-0.6741189996428718,-0.6741189996428707,2.7142512925236355,2.714251292523637,3.600907839079771,3.6009078390797726,-0.6741189996428718,-0.6741189996428707,2.7142512925236355
-0.6788807823424472,-0.6788807823424466,2.721783726478856,2.7217837264788582,3.598277363950212,3.5982773639502126,-0.6788807823424472,-0.6788807823424466,2.721783726478856
-0.6832146369325032,-0.6832146369324995,2.728236124877314,2.7282361248773155,3.5963026049417706,3.596302604941771,-0.6832146369325032,-0.6832146369324995,2.728236124877314
-0.6870882431760675,-0.6870882431760659,2.7335673955043864,2.7335673955043887,3.594991755061452,3.5949917550614523,-0.6870882431760675,-0.6870882431760659,2.7335673955043864
-0.6904789331668474,-0.6904789331668468,2.737770087214874,2.7377700872148747,3.5943290063779836,3.5943290063779836,-0.6904789331668474,-0.6904789331668468,2.737770087214874
-0.6933734934776687,-0.6933734934776665,2.7408691110005527,2.740869111000555,3.594275633483108,3.5942756334831087,-0.6933734934776687,-0.6933734934776665,2.7408691110005527
-0.6957678009807589,-0.6957678009807584,2.742918961865211,2.7429189618652114,3.5947724098568328,3.594772409856833,-0.6957678009807589,-0.6957678009807584,2.742918961865211
-0.6976663112504715,-0.6976663112504691,2.743999669189769,2.74399966918977,3.5957431483547664,3.5957431483547677,-0.6976663112504715,-0.6976663112504691,2.743999669189769
-0.6990814191794517,-0.6990814191794517,2.7442118162991145,2.7442118162991145,3.597099044727188,3.5970990447271887,-0.6990814191794517,-0.6990814191794517,2.7442118162991145
-0.7000327120837652,-0.7000327120837645,2.743671027270918,2.7436710272709193,3.5987434463949874,3.5987434463949906,-0.7000327120837652,-0.7000327120837645,2.743671027270918
-0.70054613617704,-0.7005461361770392,2.742502316902343,2.7425023169023444,3.600576671436822,3.6005766714368237,-0.70054613617704,-0.7005461361770392,2.742502316902343
-0.70065309784373,-0.7006530978437286,2.7408346487592135,2.7408346487592143,3.602500554282876,3.602500554282879,-0.70065309784373,-0.7006530978437286,2.7408346487592135
-0.7003895215765743,-0.7003895215765732,2.7387959655565552,2.738795965556556,3.6044224757215724,3.604422475721576,-0.7003895215765743,-0.7003895215765732,2.7387959655565552
-0.6997948866708084,-0.699794886670807,2.7365088663958503,2.7365088663958512,3.6062587247764704,3.606258724776471,-0.6997948866708084,-0.699794886670807,2.7365088663958503
-0.6989112646747473,-0.6989112646747466,2.7340870231253183,2.7340870231253196,3.607937122177027,3.607937122177028,-0.6989112646747473,-0.6989112646747466,2.7340870231253183
-0.6977823790651679,-0.6977823790651673,2.7316323630783765,2.731632363078378,3.6093988996268163,3.609398899626818,-0.6977823790651679,-0.6977823790651673,2.7316323630783765
-0.6964527075399122,-0.6964527075399118,2.7292330008713894,2.7292330008713908,3.6105998725711865,3.610599872571187,-0.6964527075399122,-0.6964527075399118,2.7292330008713894
-0.6949666456190364,-0.6949666456190363,2.726961876156506,2.7269618761565066,3.6115109682507067,3.6115109682507076,-0.6949666456190364,-0.6949666456190363,2.726961876156506
-0.693367747880725,-0.6933677478807244,2.724876042928466,2.7248760429284675,3.6121181797588724,3.6121181797588724,-0.693367747880725,-0.6933677478807244,2.724876042928466
-0.6916980601409776,-0.6916980601409765,2.7230165540576716,2.723016554057672,3.612422015732213,3.6124220157322133,-0.6916980601409776,-0.6916980601409765,2.7230165540576716
-0.6899975522871062,-0.6899975522871044,2.7214088874168216,2.721408887416822,3.6124365090072694,3.6124365090072708,-0.6899975522871062,-0.6899975522871044,2.7214088874168216
-0.6883036574218543,-0.6883036574218533,2.7200638634806165,2.7200638634806182,3.612187840013994,3.612187840013994,-0.6883036574218543,-0.6883036574218533,2.7200638634806165
-0.6866509186465178,-0.6866509186465176,2.7189790059066494,2.7189790059066503,3.6117126247182547,3.611712624718255,-0.6866509186465178,-0.6866509186465176,2.7189790059066494
-0.6850707404263686,-0.685070740426368,2.7181402946994067,2.7181402946994098,3.6110559144479404,3.6110559144479417,-0.6850707404263686,-0.685070740426368,2.7181402946994067
